sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
0,0.001,326,82,244,,0.8758620689655172,0.7172413793103448,0.6965517241379318,0.6741379310344827,0.6593103448275854
1,0.001,400,239,161,,0.9481481481481482,0.8925925925925926,0.8864197530864198,0.8759259259259259,0.8711111111111103
2,0.001,594,533,61,,0.9700854700854701,0.9636752136752137,0.9629629629629628,0.9423076923076923,0.9564102564102571
3,0.001,338,159,179,,0.8994082840236687,0.8402366863905325,0.8027613412228801,0.8298816568047337,0.8284023668639047
4,0.001,534,453,81,,0.9720930232558139,0.9209302325581395,0.9023255813953481,0.9058139534883721,0.9079069767441866
5,0.001,1348,935,413,,0.9356913183279743,0.9003215434083601,0.8863879957127544,0.8745980707395499,0.8733118971061116
6,0.001,515,78,437,,0.41361256544502617,0.3298429319371728,0.33856893542757444,0.3298429319371728,0.32670157068062855
7,0.001,1664,529,1135,,0.8461538461538461,0.7548076923076923,0.7371794871794877,0.7379807692307693,0.7240384615384614
8,0.001,3293,2607,686,,0.9487179487179487,0.8717948717948718,0.8581196581196577,0.867948717948718,0.8789743589743587
9,0.001,3069,2288,781,,0.9518987341772152,0.8974683544303798,0.8869198312236303,0.8835443037974684,0.8860759493670912
10,0.001,1537,774,763,,0.8943894389438944,0.8250825082508251,0.7876787678767864,0.7772277227722773,0.7986798679868002
11,0.001,2,,,truncated_max_new_tokens,,,,,
12,0.001,816,625,191,,0.9339622641509434,0.8915094339622641,0.8836477987421377,0.8844339622641509,0.8943396226415103
13,0.001,970,605,365,,0.9563636363636364,0.9163636363636364,0.8957575757575745,0.8772727272727273,0.8792727272727286
14,0.001,904,641,263,,0.9278846153846154,0.8557692307692307,0.8125,0.8016826923076923,0.808653846153846
15,0.001,1857,673,1184,,0.8336933045356372,0.7159827213822895,0.6976241900647953,0.6841252699784017,0.6967602591792686
16,0.001,2,,,truncated_max_new_tokens,,,,,
17,0.001,706,87,619,,0.8955823293172691,0.8353413654618473,0.8179384203480582,0.821285140562249,0.8265060240963862
18,0.001,549,511,38,,0.954337899543379,0.9315068493150684,0.9056316590563158,0.9178082191780822,0.9132420091324212
19,0.001,1126,469,657,,0.9503105590062112,0.8788819875776398,0.8726708074534157,0.8633540372670807,0.8590062111801268
20,0.001,633,209,424,,0.6221198156682027,0.4792626728110599,0.44854070660522305,0.4400921658986175,0.43041474654377904
21,0.001,3847,2372,1475,,0.9478260869565217,0.9028985507246376,0.8908212560386478,0.8833333333333333,0.8985507246376835
22,0.001,1151,360,791,,0.8614457831325302,0.7846385542168675,0.7610441767068258,0.766566265060241,0.7475903614457845
23,0.001,639,536,103,,0.9508196721311475,0.9524590163934427,0.936612021857923,0.9336065573770492,0.9252459016393461
24,0.001,637,28,609,,0.8407643312101911,0.7515923566878981,0.7133757961783447,0.7038216560509554,0.6904458598726104
25,0.001,768,506,262,,0.9473684210526315,0.9078947368421053,0.9060150375939838,0.8919172932330827,0.8947368421052644
26,0.001,477,179,298,,0.9322709163346613,0.8585657370517928,0.8539176626826016,0.8436254980079682,0.8494023904382482
27,0.001,1997,1791,206,,0.9663865546218487,0.9159663865546218,0.9075630252100834,0.8991596638655462,0.896638655462186
28,0.001,1337,1052,285,,0.9607843137254902,0.9338235294117647,0.9019607843137245,0.9080882352941176,0.9078431372549022
29,0.001,1379,1105,274,,0.9551282051282052,0.907051282051282,0.9038461538461533,0.8966346153846154,0.8987179487179503
30,0.001,1858,1266,592,,0.9259259259259259,0.8382716049382716,0.7991769547325105,0.7759259259259259,0.7762962962962996
31,0.001,714,548,166,,0.9555555555555556,0.9155555555555556,0.9199999999999992,0.9055555555555556,0.9004444444444453
32,0.001,1733,1569,164,,0.9609375,0.927734375,0.9153645833333327,0.9189453125,0.9007812500000014
33,0.001,701,552,149,,0.9624413145539906,0.9178403755868545,0.9076682316118931,0.9237089201877934,0.9248826291079819
34,0.001,536,415,121,,0.9565217391304348,0.927536231884058,0.91304347826087,0.9221014492753623,0.913043478260869
35,0.001,565,472,93,,0.9574468085106383,0.925531914893617,0.8992907801418432,0.9085106382978724,0.895319148936171
36,0.001,567,396,171,,0.9069767441860465,0.8081395348837209,0.7926356589147294,0.7863372093023255,0.7883720930232552
37,0.001,1644,1510,134,,0.9573643410852714,0.9302325581395349,0.9082687338501284,0.9050387596899225,0.9232558139534891
38,0.001,2,,,truncated_max_new_tokens,,,,,
39,0.001,4647,4262,385,,0.95703125,0.93359375,0.9205729166666661,0.8955078125,0.9132812500000014
40,0.001,1816,1094,722,,0.9348659003831418,0.9272030651340997,0.9157088122605359,0.8994252873563219,0.9126436781609212
41,0.001,357,206,151,,0.8865979381443299,0.8298969072164949,0.7903780068728523,0.7783505154639175,0.7752577319587624
42,0.001,1009,995,14,,0.9680851063829787,0.9468085106382979,0.955082742316785,0.9618794326241135,0.9453900709219869
43,0.001,1905,1437,468,,0.9141414141414141,0.9292929292929293,0.8771043771043765,0.8914141414141414,0.893939393939394
44,0.001,592,262,330,,0.9193548387096774,0.8494623655913979,0.8422939068100357,0.8494623655913979,0.8451612903225809
45,0.001,679,214,465,,0.875,0.7975,0.7666666666666666,0.775,0.7849999999999995
46,0.001,623,283,340,,0.9297520661157025,0.9028925619834711,0.8787878787878778,0.8863636363636364,0.8884297520661172
47,0.001,1177,825,352,,0.9620253164556962,0.9261603375527426,0.90576652601969,0.9061181434599156,0.9021097046413517
