sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
0,0.01,326,84,242,,0.8344827586206897,0.6931034482758621,0.6758620689655177,0.6689655172413793,0.6468965517241372
1,0.01,400,242,158,,0.9259259259259259,0.8666666666666667,0.8444444444444448,0.8666666666666667,0.8637037037037028
2,0.01,594,517,77,,0.9658119658119658,0.9551282051282052,0.9515669515669511,0.936965811965812,0.9521367521367529
3,0.01,338,162,176,,0.9230769230769231,0.8520710059171598,0.8244575936883634,0.8357988165680473,0.8307692307692301
4,0.01,534,472,62,,0.9720930232558139,0.9418604651162791,0.9240310077519376,0.9313953488372093,0.9311627906976747
5,0.01,1348,954,394,,0.9485530546623794,0.9067524115755627,0.8960342979635583,0.887459807073955,0.8855305466237964
6,0.01,515,64,451,,0.9214659685863874,0.7931937172774869,0.7696335078534039,0.7918848167539267,0.7863874345549733
7,0.01,1664,507,1157,,0.8269230769230769,0.7572115384615384,0.7051282051282055,0.6911057692307693,0.6817307692307685
8,0.01,3293,1816,1477,,0.9384615384615385,0.8794871794871795,0.8632478632478634,0.8794871794871795,0.8933333333333335
9,0.01,3069,2361,708,,0.9341772151898734,0.8810126582278481,0.8464135021097056,0.8493670886075949,0.8572151898734209
10,0.01,1537,723,814,,0.8943894389438944,0.8250825082508251,0.782178217821781,0.7863036303630363,0.7914191419141929
11,0.01,2,,,truncated_max_new_tokens,,,,,
12,0.01,816,622,194,,0.9292452830188679,0.9245283018867925,0.8867924528301881,0.8926886792452831,0.8933962264150952
13,0.01,970,564,406,,0.9490909090909091,0.9090909090909091,0.8799999999999986,0.8754545454545455,0.8705454545454557
14,0.01,904,645,259,,0.9278846153846154,0.8509615384615384,0.8141025641025639,0.8028846153846154,0.8057692307692306
15,0.01,1857,844,1013,,0.8466522678185745,0.7257019438444925,0.6810655147588193,0.6668466522678186,0.6708423326133933
16,0.01,2,,,truncated_max_new_tokens,,,,,
17,0.01,706,92,614,,0.9076305220883534,0.8453815261044176,0.817938420348058,0.8263052208835341,0.8345381526104426
18,0.01,549,297,252,,0.9497716894977168,0.8835616438356164,0.8706240487062398,0.8710045662100456,0.8657534246575349
19,0.01,1126,402,724,,0.922360248447205,0.8369565217391305,0.8157349896480321,0.8097826086956522,0.8031055900621135
20,0.01,633,205,428,,0.695852534562212,0.5599078341013825,0.5038402457757298,0.4942396313364055,0.4820276497695851
21,0.01,3847,2336,1511,,0.9507246376811594,0.9,0.8850241545893722,0.8840579710144928,0.8962318840579738
22,0.01,1151,373,778,,0.8644578313253012,0.8087349397590361,0.7991967871485933,0.8012048192771084,0.7807228915662671
23,0.01,639,513,126,,0.9540983606557377,0.9442622950819672,0.9322404371584693,0.9262295081967213,0.9239344262295099
24,0.01,637,59,578,,0.6560509554140127,0.6114649681528662,0.5944798301486202,0.5875796178343949,0.57452229299363
25,0.01,768,468,300,,0.9624060150375939,0.9135338345864662,0.9047619047619035,0.8956766917293233,0.890225563909776
26,0.01,477,193,284,,0.9243027888446215,0.8824701195219123,0.885790172642761,0.8764940239043825,0.8701195219123516
27,0.01,1997,1147,850,,0.957983193277311,0.9264705882352942,0.9271708683473383,0.9149159663865546,0.9134453781512619
28,0.01,1337,1076,261,,0.9656862745098039,0.928921568627451,0.9101307189542475,0.9056372549019608,0.9107843137254906
29,0.01,1379,1284,95,,0.9871794871794872,0.9455128205128205,0.9348290598290595,0.9415064102564102,0.9320512820512837
30,0.01,1858,1330,528,,0.9481481481481482,0.8530864197530864,0.8312757201646103,0.8203703703703704,0.8192592592592629
31,0.01,714,560,154,,0.96,0.9133333333333333,0.9214814814814805,0.9122222222222223,0.903111111111112
32,0.01,1733,1514,219,,0.9609375,0.951171875,0.928385416666666,0.9228515625,0.9148437500000013
33,0.01,701,592,109,,0.9436619718309859,0.92018779342723,0.9139280125195615,0.9307511737089202,0.9295774647887329
34,0.01,536,426,110,,0.9420289855072463,0.9420289855072463,0.9227053140096622,0.9148550724637681,0.9144927536231878
35,0.01,565,472,93,,0.9574468085106383,0.925531914893617,0.8992907801418432,0.9085106382978724,0.895319148936171
36,0.01,567,407,160,,0.9186046511627907,0.813953488372093,0.7887596899224814,0.7906976744186046,0.7930232558139528
37,0.01,1644,1465,179,,0.9651162790697675,0.9263565891472868,0.9082687338501282,0.9011627906976745,0.9162790697674427
38,0.01,2,,,truncated_max_new_tokens,,,,,
39,0.01,4647,2924,1723,,0.94921875,0.923828125,0.907552083333332,0.8916015625,0.9015625000000012
40,0.01,1816,1185,631,,0.9310344827586207,0.9348659003831418,0.9003831417624515,0.9099616858237548,0.9088122605364003
41,0.01,357,173,184,,0.9278350515463918,0.8917525773195877,0.900343642611684,0.9201030927835051,0.8989690721649477
42,0.01,1009,865,144,,0.9680851063829787,0.9290780141843972,0.9326241134751769,0.925531914893617,0.9219858156028385
43,0.01,1905,1537,368,,0.9444444444444444,0.9368686868686869,0.9242424242424239,0.9330808080808081,0.9303030303030305
44,0.01,592,247,345,,0.9408602150537635,0.8387096774193549,0.8494623655913971,0.8467741935483871,0.8344086021505379
45,0.01,679,288,391,,0.91,0.8525,0.8116666666666663,0.81375,0.8100000000000002
46,0.01,623,273,350,,0.9256198347107438,0.8863636363636364,0.8732782369145995,0.8884297520661157,0.8842975206611584
47,0.01,1177,972,205,,0.9578059071729957,0.9282700421940928,0.9212376933895916,0.929324894514768,0.9164556962025325
